when,Placemark_Id
"2012-10-08T22:15:00-07:00",139
"2012-10-08T22:05:00-07:00",140
"2012-10-08T22:00:00-07:00",141
"2012-10-08T22:00:00-07:00",142
"2012-10-08T22:00:00-07:00",143
"2012-10-08T22:00:00-07:00",144
"2012-10-08T21:52:00-07:00",145
"2012-10-08T21:21:00-07:00",146
"2012-10-08T21:20:00-07:00",147
"2012-10-08T21:00:00-07:00",148
"2012-10-08T20:38:00-07:00",149
"2012-10-08T20:16:00-07:00",150
"2012-10-08T20:10:00-07:00",151
"2012-10-08T19:15:00-07:00",152
"2012-10-08T18:30:00-07:00",153
"2012-10-08T18:10:00-07:00",154
"2012-10-08T18:10:00-07:00",155
"2012-10-08T17:55:00-07:00",156
"2012-10-08T17:35:00-07:00",157
"2012-10-08T17:00:00-07:00",158
"2012-10-08T16:35:00-07:00",159
"2012-10-08T16:20:00-07:00",160
"2012-10-08T16:20:00-07:00",161
"2012-10-08T16:10:00-07:00",162
"2012-10-08T15:51:00-07:00",163
"2012-10-08T15:45:00-07:00",164
"2012-10-08T15:23:00-07:00",165
"2012-10-08T15:10:00-07:00",166
"2012-10-08T15:00:00-07:00",167
"2012-10-08T15:00:00-07:00",168
"2012-10-08T14:44:00-07:00",169
"2012-10-08T14:44:00-07:00",170
"2012-10-08T14:39:00-07:00",171
"2012-10-08T13:45:00-07:00",172
"2012-10-08T13:43:00-07:00",173
"2012-10-08T13:39:00-07:00",174
"2012-10-08T13:30:00-07:00",175
"2012-10-08T13:30:00-07:00",176
"2012-10-08T13:17:00-07:00",177
"2012-10-08T13:17:00-07:00",178
"2012-10-08T13:00:00-07:00",179
"2012-10-08T13:00:00-07:00",180
"2012-10-08T12:31:00-07:00",181
"2012-10-08T11:15:00-07:00",182
"2012-10-08T11:00:00-07:00",183
"2012-10-08T11:00:00-07:00",184
"2012-10-08T10:45:00-07:00",185
"2012-10-08T10:30:00-07:00",186
"2012-10-08T10:00:00-07:00",187
"2012-10-08T09:45:00-07:00",188
